ear_left,ear_right,ear_avg,label
0.31695592365598213,0.33258709898544747,0.3247715113207148,0
0.3223938158579619,0.32863706876747584,0.3255154423127189,0
0.3112072391230553,0.33382558744452534,0.3225164132837903,0
0.2941605748909554,0.3311895795772525,0.3126750772341039,0
0.2998551818450904,0.31858385212057944,0.3092195169828349,0
0.29136706233721626,0.31791595834149206,0.30464151033935416,0
0.29524774255334635,0.33331071375655447,0.3142792281549504,0
0.2944314777942237,0.32153308183733875,0.3079822798157812,0
0.29566628966511227,0.31967997281372507,0.30767313123941864,0
0.29657187647005157,0.31866293956596314,0.30761740801800735,0
0.2909298128627947,0.31774474652945256,0.3043372796961236,0
0.2889753330789605,0.3220590102032294,0.30551717164109493,0
0.2843566783470888,0.3233891189826033,0.303872898664846,0
0.28946237370222544,0.32295271463988406,0.3062075441710548,0
0.29246834382614456,0.31992943182582,0.30619888782598226,0
0.29041062640176907,0.3172807965336154,0.30384571146769224,0
0.28979165594200484,0.3166680299844735,0.3032298429632392,0
0.2921785793362826,0.310847192169576,0.30151288575292934,0
0.29113135047112754,0.31568486158430736,0.30340810602771745,0
0.29272760914064927,0.31070046877196505,0.30171403895630716,0
0.29121819416023,0.3129019537354046,0.3020600739478173,0
0.2905073995913582,0.3163473884472544,0.3034273940193063,0
0.2888212365360225,0.3112648996652435,0.30004306810063297,0
0.286970737689122,0.3130038833579402,0.2999873105235311,0
0.29719382187408755,0.30664129101839604,0.3019175564462418,0
0.2952188080432398,0.30949899493749855,0.30235890149036915,0
0.29310643504449463,0.31007536808683356,0.3015909015656641,0
0.29377814752449133,0.30666572301388983,0.3002219352691906,0
0.2936214776617907,0.30754301912967813,0.30058224839573444,0
0.29626883181553143,0.30893794414311193,0.3026033879793217,0
0.29340409431507736,0.31026187135850763,0.3018329828367925,0
0.2934433280737561,0.31554417162264814,0.3044937498482021,0
0.2921646852716629,0.3151718261817273,0.3036682557266951,0
0.296670947237802,0.3130792207851659,0.304875084011484,0
0.2960361987473066,0.31372359283318657,0.30487989579024655,0
0.29342827740039207,0.31617183673122695,0.3048000570658095,0
0.29308897503375786,0.31890973650947346,0.30599935577161563,0
0.2950924528604168,0.32259988932925787,0.30884617109483736,0
0.2993069208138525,0.3169589499154943,0.3081329353646734,0
0.2964782043571269,0.3160694848041569,0.3062738445806419,0
0.2966712062482837,0.31894768886001273,0.3078094475541482,0
0.29772734642461934,0.3135714890925203,0.3056494177585698,0
